매장명,작성일,리뷰내용,감정분석
달빛에구운고등어 만성점,1번째 방문,한번씩오는데 친절하고맛있어요. 주차도 바로앞 공터주차장있어서편합니다.,긍정
달빛에구운고등어 만성점,5번째 방문,주말 점심에 이렇게 손님이 많을 줄 몰랐어요. 10분 기다리고 먹었지만 진짜 우리동네에서 최고 좋아하는 곳이예요. 멀리서 친척분들과 부모님 오셔서 모시고 갔는데 다들 식사 맛있게 하시고 좋아하셨답니다.,긍정
달빛에구운고등어 만성점,1번째 방문,"집에서 구워먹기 힘든 생선구이 ~ 생선이 좋기 한데 챙겨먹기가 쉽지 않아서~ 약속있거나 하면 챙겨먹게 되는데 이곳은 체인이라 어디가서 먹던간에 다 맛있는거 같다~ 우선 셀프파가 종류도 많고 맛도 좋아서 메인 먹기고 전에 배부르게 된다 ^^
확실히 반찬도 건강식이라 그 또한 강점같다 세군데 체인점 가봤는데 다 만족스러웠던거 같다
평일 항상 대기가 있는것만 봐도 만족도가 높다는 결론^^ 아이들과 어르신들과 남녀노소 막론하고 즐길수있는 생선구이라 종류별로 선택할수 있어서 언제든 좋은듯~ 오늘도 좋은사람과 맛있게 즐길고 갑니다^^
더보기",부정
달빛에구운고등어 만성점,1번째 방문,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이",중립
달빛에구운고등어 만성점,11번째 방문,"꾸준히 찾게되는 매장
가격이 갈때마다 오르는기분 +포장비라니,,,
그래도 맛있어요",긍정
달빛에구운고등어 전북도청점,2번째 방문,"생선구시집인지 백반집인지 햇갈릴정도로 반찬이 많아서 좋아요
생선구이는 육즙과 풍미가 가득🩷🩷 너무 맛있어서 계속 오고싶은곳이랍니다!",긍정
달빛에구운고등어 전북도청점,1번째 방문,"가성비 최고 달빛구운고등어 👍🏻👍🏻👍🏻🤍

가게 정말 넓고 쾌적해서 단체 모임하기 좋읗듯 해요
셀프바 음식도 꽤 다양하고 전부 다 맛있어요

무엇보다 생선구이 종류 다양하고 맛있어요
더보기",긍정
달빛에구운고등어 전북도청점,1번째 방문,고등어 먹고 싶어서 가까운곳으로 와봤는데 매장도 넓고 주차하기도 편하고 삼치랑 고등어 너무 맛있게 먹고 셀프바에 있는 계란말이 👍🏻👍🏻 꼭 드세용,긍정
달빛에구운고등어 전북도청점,1번째 방문,"생선구이는 무조건 달빛게구운고등어로 와요! 고등어는 살짝 짭잘하면서 촉촉하고 ㅜㅜ 삼치는 너무 부드러워요..! 기본 반찬도 알차게 나오고 즉석에서 계란말이가 나오는데 같이 먹으면 굿이에요!!!! 주기적으로 생각나는 곳이에요♥️♥️
더보기",중립
달빛에구운고등어 전북도청점,1번째 방문,"생선이 부드럽고 맛있어요
반찬도 골고루 가져다가 먹을수있고
저희 엄마가 너무 맛있다고 하셨어요
다음에 또 올께요
더보기",긍정
달빛에구운고등어 모현점,1번째 방문,"군산여행중 들려서 점심 먹엇어요 ^^
가족 식사하기 너무좋고 생선구이 먹고싶을때마다 올수 있는곳이라서 좋네요^^ 음식도 너무 맛있어서 밥몇공기 먹던 아들과 신랑 ㅋㅋ딸래미도 생선살 발라서 너무 잘먹엇어요♡
같이 간 지인들도 굿초이스였다네요 ~
더보기",긍정
달빛에구운고등어 모현점,4번째 방문,"오늘도 든든히 잘~ 먹었습니다♡
막 나온 뜨끈한 고등어를 밥에 올려먹으면...음~~
맛있죠, 반찬 다양하죠, 친절하죠..
뭐하나 빠지지않고 너~무너무 맛있는 맛집이에요.
특별반찬도 원없이 가져다먹을수있지만 본요리가 양이 많다보니 욕심낼 필요도없이
더보기",긍정
달빛에구운고등어 모현점,2번째 방문,"이틀만에 재방문했어요~♡
오늘은 고등어구이와 조림을 주문해봤어요.
서비스 새우장♡
식사후 수정 글올릴께요~♡

역시나..과식을 하고 말았답니다 ㅠ
신랑은 밥한공기 추가하고, 전 실한 고등어구이와 고등어조림, 새우장까지..밥이 살짝서운했지만 워낙 반찬들이 맛있어서 배가 터지도록 먹고왔어요..ㅎㅎㅎ
(이런이유로 누룽지는 맛보질 못하네요..ㅠ)
모두 친절하시지만 특히, 친절하게 장난도 잘 받아주시고 서비스도 좋은 사장님? 실장님? 너~~무 조아요♡
더보기",긍정
달빛에구운고등어 모현점,5번째 방문,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자,중립
달빛에구운고등어 모현점,1번째 방문,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자,중립
