매장명,작성일,리뷰내용,감정분석
달빛에구운고등어 만성점,2026-01-22,한번씩오는데 친절하고맛있어요. 주차도 바로앞 공터주차장있어서편합니다.,긍정
달빛에구운고등어 만성점,2026-01-18,주말 점심에 이렇게 손님이 많을 줄 몰랐어요. 10분 기다리고 먹었지만 진짜 우리동네에서 최고 좋아하는 곳이예요. 멀리서 친척분들과 부모님 오셔서 모시고 갔는데 다들 식사 맛있게 하시고 좋아하셨답니다.,긍정
달빛에구운고등어 만성점,2026-01-15,2026년 1월 15일 목요일,중립
달빛에구운고등어 만성점,2026-01-15,"가격이 갈때마다 오르는기분 +포장비라니,,,",중립
달빛에구운고등어 만성점,2026-01-10,음식이 맛있어요재료가 신선해요매장이 넓어요혼밥하기 좋아요친절해요,긍정
달빛에구운고등어 만성점,2026-01-10,2026년 1월 10일 토요일,중립
달빛에구운고등어 만성점,2026-02-07,2026년 2월 7일 토요일,중립
달빛에구운고등어 만성점,2025-11-05,2025년 11월 5일 수요일,중립
달빛에구운고등어 만성점,2025-03-16,2025년 3월 16일 일요일,중립
달빛에구운고등어 만성점,2025-03-02,2025년 3월 2일 일요일,중립
달빛에구운고등어 만성점,2025-02-21,2025년 2월 21일 금요일,중립
달빛에구운고등어 만성점,2025-01-21,2025년 1월 21일 화요일,중립
달빛에구운고등어 만성점,2025-01-19,2025년 1월 19일 일요일,중립
달빛에구운고등어 만성점,2024-12-19,2024년 12월 19일 목요일,중립
달빛에구운고등어 만성점,2024-11-20,2024년 11월 20일 수요일,중립
달빛에구운고등어 만성점,2024-11-16,2024년 11월 16일 토요일,중립
달빛에구운고등어 만성점,2026-01-01,2026년 1월 1일 목요일,중립
달빛에구운고등어 만성점,2025-12-27,2025년 12월 27일 토요일,중립
달빛에구운고등어 만성점,2025-11-23,원래 신시가지로 먹으러다니는데 주차가 안되어서 혁신으로 왔는데 음..,중립
달빛에구운고등어 만성점,2025-11-15,"생선구이는 달빛고등어가 최고인데 오랜만에 갔더니 가격이 많이 올랐네요 어린이 고등어가 10,000원 이라니 ㅠㅠ",긍정
달빛에구운고등어 만성점,2025-11-04,"소불고기는 처음 먹어봤는데, 음식이 빨리 준비되었지만, 예상보다 양이 적었고, 조금 달게 느껴져서 아쉬웠어요.",중립
달빛에구운고등어 만성점,2025-10-24,집에서 구워먹기 힘든 생선구이 ~ 생선이 좋기 한데 챙겨먹기가 쉽지 않아서~ 약속있거나 하면 챙겨먹게 되는데 이곳은 체인이라 어디가서 먹던간에 다 맛있는거 같다~ 우선 셀프파가 종류도 많고 맛도 좋아서 메인 먹기고 전에 배부르게 된다 ^^,긍정
달빛에구운고등어 만성점,2025-10-21,반찬이 잘 나와요잡내가 적어요양이 많아요매장이 넓어요매장이 청결해요,긍정
달빛에구운고등어 어양점,2026-03-21,모듬 시켜봤어요 음 저희는 좀 별로였어요 양념을 가자미 아닌 고등어면 좋겠어요 모듬에 무슨 생선들이 나오는지 키오스크에 표시가 되어 있었으면 좋겠어요 샐러드 바 등 사이드 음식 너무 맛있어요 배 부르게 잘 먹었어요,긍정
달빛에구운고등어 어양점,2026-03-09,재료가 신선해요매장이 넓어요친절해요매장이 청결해요주차하기 편해요,긍정
