수집일자,매장명,타겟키워드,현재순위,등락폭,1위_매장명,1위_사용_키워드,AI_인사이트
2026-03-30,달빛에구운고등어 부안점,부안생선구이,5,-,,,
2026-03-30,달빛에구운고등어 부안점,부안맛집,999,-,,,
2026-03-30,달빛에구운고등어 부안점,부안가족외식,999,-,,,
2026-03-30,달빛에구운고등어 부안점,부안가볼만한곳,999,-,,,
2026-03-30,달빛에구운고등어 대전효동점,효동생선구이,5,-,,,
2026-03-30,달빛에구운고등어 대전효동점,효동맛집,999,-,,,
2026-03-30,달빛에구운고등어 대전효동점,생선구이맛집,999,-,,,
2026-03-30,달빛에구운고등어 대전효동점,대전동구맛집,999,-,,,
2026-03-30,달빛에구운고등어 만성점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 만성점,화덕고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 만성점,뚝배기고등어조림,999,-,,,
2026-03-30,달빛에구운고등어 어양점,어양점 맛집,1,-,,,
2026-03-30,달빛에구운고등어 어양점,어양점 생선구이,999,-,,,
2026-03-30,달빛에구운고등어 도마점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 도마점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 도마점,갈치구이,999,-,,,
2026-03-30,달빛에구운고등어 송천점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 송천점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 송천점,전주생선구이,999,-,,,
2026-03-30,달빛에구운고등어 평화점,평화동생선구이,999,-,,,
2026-03-30,달빛에구운고등어 평화점,전주생선구이,999,-,,,
2026-03-30,달빛에구운고등어 평화점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 관저점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 관저점,고등어,999,-,,,
2026-03-30,달빛에구운고등어 관저점,화덕,999,-,,,
2026-03-30,달빛에구운고등어 전북도청점,한식,999,-,,,
2026-03-30,달빛에구운고등어 전북도청점,고등어,999,-,,,
2026-03-30,달빛에구운고등어 전북도청점,생선,999,-,,,
2026-03-30,달빛에 구운 고등어 전주아중점,달빛에 구운 고등어 전주아중점 맛집,1,-,,,
2026-03-30,달빛에 구운 고등어 전주아중점,달빛에 구운 고등어 전주아중점 생선구이,999,-,,,
2026-03-30,달빛에구운고등어 모현점,점심,999,-,,,
2026-03-30,달빛에구운고등어 모현점,부모님식사가족식사,999,-,,,
2026-03-30,달빛에구운고등어 모현점,익산생선구이,2,-,,,
2026-03-30,달빛에구운고등어 첨단점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 첨단점,갈치구이,999,-,,,
2026-03-30,달빛에구운고등어 첨단점,고등어구이,999,-,,,
